<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPT,D,20071010,000000,14930.0000,15040.0000,14880.0000,14930.0000,227190,0
FPT,D,20071011,000000,14830.0000,14880.0000,14620.0000,14620.0000,179330,0
FPT,D,20071012,000000,14620.0000,14720.0000,14570.0000,14720.0000,144790,0
FPT,D,20071015,000000,14720.0000,14720.0000,14570.0000,14570.0000,195120,0
FPT,D,20071016,000000,14570.0000,14620.0000,14460.0000,14460.0000,257970,0
FPT,D,20071017,000000,14460.0000,14720.0000,14460.0000,14670.0000,201640,0
FPT,D,20071018,000000,14570.0000,14620.0000,14460.0000,14460.0000,176410,0
FPT,D,20071019,000000,14150.0000,14310.0000,14100.0000,14310.0000,220860,0
FPT,D,20071022,000000,14050.0000,14310.0000,14050.0000,14150.0000,285680,0
FPT,D,20071023,000000,14050.0000,14100.0000,13940.0000,14100.0000,526810,0
FPT,D,20071024,000000,14310.0000,14570.0000,14260.0000,14570.0000,273700,0
FPT,D,20071025,000000,14570.0000,14670.0000,14410.0000,14410.0000,292200,0
FPT,D,20071026,000000,14410.0000,14410.0000,14310.0000,14310.0000,175290,0
FPT,D,20071029,000000,14100.0000,14200.0000,14100.0000,14100.0000,176680,0
FPT,D,20071030,000000,14050.0000,14150.0000,14050.0000,14050.0000,254640,0
FPT,D,20071031,000000,14100.0000,14150.0000,14050.0000,14150.0000,197030,0
FPT,D,20071101,000000,14150.0000,14150.0000,14000.0000,14050.0000,232680,0
FPT,D,20071102,000000,13790.0000,14050.0000,13740.0000,13740.0000,244060,0
FPT,D,20071105,000000,13160.0000,13420.0000,13160.0000,13370.0000,345680,0
FPT,D,20071106,000000,13010.0000,13110.0000,12850.0000,12850.0000,361210,0
FPT,D,20071107,000000,12640.0000,12850.0000,12640.0000,12690.0000,355200,0
FPT,D,20071108,000000,12750.0000,13010.0000,12750.0000,12850.0000,129370,0
FPT,D,20071109,000000,12950.0000,13060.0000,12900.0000,13060.0000,334340,0
FPT,D,20071112,000000,13110.0000,13110.0000,12800.0000,13060.0000,258730,0
FPT,D,20071113,000000,13010.0000,13010.0000,12490.0000,12490.0000,207890,0
FPT,D,20071114,000000,12750.0000,13060.0000,12750.0000,13060.0000,264240,0
FPT,D,20071115,000000,13010.0000,13010.0000,12800.0000,12800.0000,147180,0
FPT,D,20071116,000000,12640.0000,12950.0000,12640.0000,12950.0000,157050,0
FPT,D,20071119,000000,12800.0000,12950.0000,12800.0000,12950.0000,145600,0
FPT,D,20071120,000000,12950.0000,12950.0000,12750.0000,12800.0000,255770,0
FPT,D,20071121,000000,12490.0000,12590.0000,12490.0000,12490.0000,260450,0
FPT,D,20071122,000000,12750.0000,12850.0000,12690.0000,12800.0000,158550,0
FPT,D,20071123,000000,12640.0000,12850.0000,12640.0000,12850.0000,126520,0
FPT,D,20071126,000000,12800.0000,12850.0000,12800.0000,12850.0000,171730,0
